a	the
javaslom	I recommend
sátán	Satan
cucc	gear
szállás	accommodation
muszáj	must
indulnak	leave
nagyrészt	largely
oldaláról	side
amíg	until
tartalmú	content
tapasztalattal	experience
folytat	continue
fejlődési	developmental
humán	Human
állapot	status
növekedést	growth
változatban	versions
ismerni	recognize
győzelmet	victory
hanghordozó	sound recording
moderálási	Moderation
hála	gratitude
technológiát	technology
könyvben	book
épületet	building
templomot	church
mérési	measurement
versenyek	competitions
pszichológiai	psychological
megjelennek	appear
hoznak	bring
szándék	intent
legsikeresebb	successful
szeptemberben	in September
hold	moon
hangulatot	mood
gyártás	production
bárhol	anywhere
ellenkező	contrary
bort	wine
alkatrészek	parts
kupa	cup
általánosan	generally
Amerika	America
kínálja	offers
olaj	oil
állomás	station
emlékeztet	remind
ökológiai	ecological
területére	area
árán	expense
fakadó	deriving
kártyát	cards
csend	silence
hetedik	seventh
íme	lo
lovas	horse
pécsi	Pécs
eltekintve	aside from
szervezetet	organizations
száll	fly
szeptemberében	September
jóvá	approval
válság	crisis
teste	bodies
feliratkozhat	sign up
méterre	meters
beállítva	set
ellátására	supply
úrnak	Mr.
kisebbségek	Minorities
határt	limit
kliens	client
előzetesen	previously
tervezése	Design
egyetemek	universities
beérkezett	received
fotók	Photos
tájékoztatás	information
költsége	costs
templomban	Temple
megállapítható	concluded
pilóta	pilot
pontokat	items
ötletet	idea
körét	scope
téri	Outdoor
turizmus	Tourism
fajok	Species
segítenek	help
tanít	teach
fér	access
szintje	level
intézkedés	measure
engedélyezte	authorized
érett	mature
rendezte	director
étel	food
neved	Your name
alkalmi	casual
semmiképpen	no way
láthatatlan	invisible
jelentkezési	Application
grafikai	graphic
finoman	gently
elnökének	the President
hitel	loan
tudtok	you can
titokban	in secret
szavazott	Voted
hétvégi	weekend
későn	late
érintettek	stakeholders
jelentkezését	Application of
egyetemen	University
jogokkal	rights
fejlesztői	Developer
táján	Around
örömet	pleasure
bevétel	income
szükségesnek	necessary
párt	party
csatában	battle
rólam	about me
képviselő	representative
testület	body
megtekinthető	view
leírni	describe
kérdeztem	I asked
amennyi	As much
megjeleníteni	Display
államtitkára	Secretary of State
miért	why
hirdet	advertise
gyártása	Production
egri	Eger
itteni	here
hatvanas	sexagesimal
alkotja	make up
mindennek	everything
kialakítására	develop
kipróbálni	to try
mondod	say
számokat	numbers
kérdezi	asks
elhelyezni	post
kedvezőbb	better
irányítja	managed
hibákat	errors
igazgatóság	directorate
tekintik	considered
felhívás	call
kifelé	out
gyere	come on
állati	animal
járművek	vehicles
szorongás	anxiety
kompatibilis	Compatible
jóvoltából	Courtesy
hozzászólásokért	Comments for
hegy	mountain
egészségügy	Health
kollégiumi	collegiate
keresztények	Christians
szabályozott	regulated
mindezt	all
ismételten	repeatedly
védi	protect
kielégítő	satisfying
esetre	event
piszkos	dirty
ciklus	cycle
lapos	flat
világnak	world
módosítás	amendment
állatokat	Animals
igényeinek	needs
iszlám	Islam
hajnalban	dawn
hanem	but also
többségében	most
köszönet	thank
társasági	corporate
aranyos	cute
világba	world
jöjjön	come
tünetek	symptoms
próba	test
kedd	Tuesday
megint	again
jelenetek	Scenes
óriás	giant
int	int
feladatai	Responsibilities
támadástól	attack
ura	lord
Ildikó	Ildikó
büntetés	penalty
eredményez	leads
gyógyszer	medicine
fájdalmas	painful
fürdőszoba	bathroom
váratlanul	unexpectedly
háza	home
testet	bodies
szerelt	fitted
hozzáférési	Access
váló	divorce
telik	take
amitől	makes
negyed	quarter
rendszeren	system
hetvenes	Seventies
végrehajtani	performed
elkészített	made
agy	brain
hossza	Length
alkotják	make up
régióban	region
látnak	see
micsoda	what
írnak	write
hírközlési	Communications
írók	writers
láb	foot
állapotát	status
mióta	since
eggyel	one
vonja	withdraw
sör	beer
remekül	great
elvi	theoretical
ezt	this
listára	list
bolygó	planet
világ	world
küldéséhez	To send a
megvolt	I had
többek	others
oktatásban	Education
jelentőségét	significance
vármegye	County
budai	Buda
gondoljuk	believe
pályát	pitch
legrosszabb	worst
Dénes	Denes
örülök	I am glad
státusz	status
zárva	closed
főre	per capita
ismertette	explained
vesztesz	lose
gyógyszerek	drugs
szerda	Wednesday
nagysága	Size
tapasztalatai	Experiences
telepített	Installed
felhasználás	utilization
árat	reap
vet	cast
rendre	respectively
listáját	list
jelenléte	The presence
idejű	Time
tevékenységi	Activity
részvételével	participation
ponttal	point
nyilvántartásba	register
frissítés	updates
fizetendő	paid
feltételekkel	terms and conditions
ellenséges	hostile
célba	finish line
kórházba	hospital
interjú	interview
hardver	hardware
súlya	weight
talán	maybe
végrehajtása	implementation
mitől	what
sajtótájékoztatón	press conference
ezért	therefore
jegyző	notary
fejlődött	developed
többségi	Majority
forradalmi	revolutionary
kritika	criticism
nyugdíjas	retired
okai	Causes
erőszakos	violent
valójában	in fact
hír	news
doktor	doctor
teológiai	theological
eljárási	procedural
döntöttek	decided
döntöttem	I decided
gond	worry
ahelyett	instead
költői	poetic
érkeznek	arrive
minőségben	Agents
gyakoriság	frequency
elindul	start off
nyújtotta	offered
juhász	shepherd
erősíti	strengthens
támogatással	Support
konferencia	conference
morális	Moral
alul	bottom
társaságában	company
finanszírozási	funding
fennáll	there
zsűri	jury
játszottak	play
amelyről	which
valóságban	in reality
irányítása	guidance
létezett	existed
napokon	days
tesztet	test
művelődési	cultural
tanultam	I learned
korú	ages
fejjel	heads
fogalmát	The concept
eladni	to sell
állok	I stand
moderátorok	Moderators
változatlanul	invariably
tragikus	tragic
tényleg	really
elve	The principle
magyarázat	explanation
könyvtárak	libraries
azelőtt	before
bejelentése	Notification
anyagát	material
csakúgy	just because
jelleggel	character
csomagot	package
érzett	felt
szemlélet	approach
próbálta	trying
írtam	I wrote
professzionális	Professional
lusta	lazy
mese	tale
szeretet	love
katolikus	Catholic
látsz	see
követik	follow
tiszteletére	in respect of
vagyoni	property
egységet	units
szerkesztő	editor
pohár	glass
természetvédelmi	conservation
szóvivője	Spokesperson
feltételeinek	conditions
nekünk	us
képernyőn	screen
elfogadása	Adoption
kórházban	hospital
mellesleg	by the way
fogalmak	Concepts
ezelőtti	ago
csatlakozik	join
válni	become
módszerekkel	methods
állampolgár	citizen
nyíltan	openly
konferenciát	conference
multimédiás	multimedia
egyformán	evenly
fejezetben	section
midőn	when
kiadni	issue
papok	Priests
oldalas	page
előadásokat	performances
lehetőleg	if possible
ügyes	clever
annyiban	so far
merül	dive
délutáni	afternoon
használatára	use
tagság	membership
találnak	s
szállítás	shipping
vízi	aquatic
közismert	known
hozzászólásban	post
szombati	Saturday
kérdés	issue
lét	life
javaslatokat	proposals
szabályozási	Regulatory
mondd	tell
tükör	mirror
ablakban	window
kiemelten	priority
közelben	close
veszélyt	threat
vezetékes	wire
madár	bird
fedett	covered
viselő	bearing
statisztika	statistics
különböző	different
gyógyító	healing
lágy	soft
hívő	caller
igényeit	demands
motorral	engines
rajongók	fans
környéken	area
vehetik	make use of
tudomást	ignored
tartalommal	content
szorul	in need
kormányfő	Government
kapják	receive
létrehozását	creation
világát	world
ismeretes	known
műfaj	genre
nemzet	nation
regisztráció	Sign Up
szellemében	spirit
kint	outdoors
remélhetőleg	hopefully
fokú	degree
ártatlan	innocent
szervezése	The organization
segítségét	for help
fejleszteni	develop
friss	fresh
közölni	communicated
szerinted	think
drágább	expensive
környék	surroundings
emelni	raise
önmaga	himself
tárolt	stored
holnap	tomorrow
jogszabályban	law
táblázatban	Table
kérdései	Issues
jelenségek	events
kívánatos	desirable
gyakorlatot	practice
ellenfeled	opponents
fájlt	file
fenntartjuk	We reserve the
szakos	specializing
hazafelé	homeward
Miskolc	Miskolc
mágneses	magnetic
bejött	came
férj	husband
előadó	performer
sorozatban	series
vásárlás	buying
hatásos	effective
szolgálnak	serving
igényeket	demands
ellátást	supply
növényi	vegetable
nézte	watching
utcára	street
indiai	Indian
hihetetlenül	incredible
ellátni	perform
dokumentumokat	documents
bevonásával	involvement
tavaszán	In spring
tavasz	spring
modellt	model
nyilván	record
fesztivál	festival
sorsát	fate
támadt	attack
kérdezni	ask
témájú	theme
fej	head
megjelenni	released
érnek	worth
Angliában	England
szakon	Faculty
kialakulása	formation
hallható	audible
neved	Your name
szolgálni	serve
lakásban	home
nyilatkozat	statement
fogyasztó	consumer
városa	city
linket	link
sorba	in series
elnöki	presidential
bizonyítani	to prove
vonat	train
korábbi	former
szülői	parental
vidék	country
fejlődik	evolve
kedvezőtlen	unfavorable
időszámítás	Time
beszéltünk	talking
szervezete	organizations
kezdetén	At the beginning
tárgyakat	items
hirdetések	Ads
eszik	eat
találod	find
telefont	phone
motoros	biker
feltehetően	probably
fiai	sons
Margit	Margit
üzemelteti	operates
keletkező	resulting
apám	My father
városba	city
aki	who
hónapra	month
miniszterelnöki	the Prime Minister
kiírt	written
biztosítanak	provide
esélyt	chance
tartósan	permanently
ezenkívül	Besides that
nemzetközi	international
mellékelt	supplied
hiányzó	missing
alaplap	Motherboard
épp	right
fejlődésének	development
elküldött	sent
ausztrál	Australian
felvételt	shooting
fogyatékos	handicapped
függő	dependent
munkába	to work
közlemények	releases
tárgyalt	discussed
bizottsága	The Committee
sorozatot	series
mások	others
alapjait	foundations
annyira	so much
követett	followed by
értik	understand
szer	times
gyakorlati	practical
Népszabadság	Népszabadság
regisztrációs	registration
fenntartása	Maintaining
ajánlatok	Deals
évfolyam	year
tanul	learn
kínált	offered
fejléc	letterhead
megmondani	to say
megerősítette	confirmed
autóval	by car
számodra	for you
szükségesek	required
mész	lime
tulajdonosok	Owners
vasárnapi	Sunday
áruk	goods
adag	dose
tanulmányait	education
versek	Verses
novemberben	in November
vizes	wet
testület	body
méret	size
feltéve	provided
oldani	resolved
fegyverek	Weapons
dalok	songs
fórum	forum
püspöki	episcopal
kódot	code
színt	level
felelt	answer
szándéka	intent
radikális	radical
tanév	school year
rangot	rank
csoport	group
megismerni	learn
adatokkal	data
területeket	areas
döntését	decision
gondoskodni	take care
beszélgettünk	We talked
kívánjuk	wish
mérleg	balance sheet
elkövetkező	next
riport	reportage
időszakában	time
kérünk	We ask
szál	thread
menedzsment	Management
nyugat	West
rejlő	potential
cikkben	Article
előkészítése	Preparation
olvasom	Read
témaváltás	change theme
magyarázatot	explanation
gyártási	manufacturing
kari	Staff
érdekek	Interests
indultak	started
rendezi	settle
nyilatkozatot	statement
nézd	watch
neked	thee
utólagos	follow-up
rendszerű	System
erdei	woodland
csökkenése	decrease
helyezte	placed
hatott	could
megkezdődött	started
Máté	Matthew
üzemeltető	operators
mars	Mars
köti	tie
varázslat	magic
összefoglaló	Summary
irányul	directed
fogadták	accepted
alszik	sleep
állították	They claimed
támogatják	support
konzervatív	conservative
ítélte	sentenced
ügyvéd	lawyer
népe	people
kezdeményezés	initiative
kiterjedő	extending
beavatkozás	intervention
elvégzett	carried out
tanszék	Department
térségben	area
megoldására	to solve
helyezni	move
csere	exchange
rendszereket	systems
legkevésbé	least
japán	Japan
rangú	ranking
önként	willingly
kiállítást	exhibitions
ezekből	these
lényegét	essence
koncertet	concert
bűnös	guilty
nagyságú	size
eljárásban	proceedings
veletek	with you
márka	brand
szállt	staying
hagyom	leave
segítsen	help me
közre	contributed
bevezető	introductory
kenyér	bread
tennie	do
készüléket	equipment
megkapja	receive
szó	word
kényelmesen	comfortably
céljára	purpose
fotó	Photo
szervező	organizer
bibliai	biblical
nulla	zero
várok	I expect
tudományegyetem	science university
tőled	from you
értékelés	assessment
rájöttem	I realized
kimondottan	specifically
említettem	I mentioned
harcot	fight
bankok	Banks
elérhetők	available
túlmenően	In addition to
alapok	foundations
felügyelő	supervisor
bizony	certainly
célzó	for
ének	singing
kamara	chamber
tétele	Making
keveredik	mingle
hírű	famous
hozzájárulás	contribution
megvannak	has its
hírlap	newspaper
semmire	nothing
fejem	My head
szükségem	I need
szava	the words
tárgyat	items
alakultak	developed
szórakozást	entertainment
mondanom	to say
relatív	relative
művei	Works
elsőre	first
tulajdonképpen	actually
szimpatikus	likeable
életmód	way of life
költözött	moved
mag	core
levele	Letter
jogosultak	entitled
felhasználási	applications
Ilona	Ilona
madarak	birds
lakó	residential
béta	beta
hétre	week
kétségtelenül	undoubtedly
étrend	diet
néhányan	Some
szabadságot	freedom
órákban	hours
védelmét	protection
bővebb	more
szabadalmi	patent
emberre	man
kezelt	managed
gyülekezet	congregation
urat	Mr.
topikot	thread in
próbált	tried
esztergomi	Esztergom
misztikus	mystic
jelentkezni	sign in
tartottam	I kept
meteorológiai	meteorological
követelményeket	requirements
célját	purpose
hatáskörébe	competence
csütörtök	Thursday
csinálnak	doing
mindenkor	always
tetejére	Top
nevezhető	It is called
elmenni	leave
körébe	within
laza	loose
Franciaország	France
széleskörű	extensive
jelöli	assigned
bevételek	revenue
technikák	Techniques
megtudni	learn
józan	sober
köszönjük	Thank you
alfa	alpha
barlang	cave
futni	run
kormánynak	Government
példája	Example
amelyekre	which
használatra	use
Pesten	Budapest
helyezték	placed
bővítése	expansion
kedvence	favorite
rendeletben	Regulation
menti	Saves
játékkal	games
számoltak	reported
küldje	Send
miniszteri	ministerial
hitelt	loan
elveszett	lost
tájékoztatta	informed
gólt	goals
darabja	pieces
jövőt	future
aktívan	active
lezajlott	completed
feltétlen	unconditional
képi	kepi
szenvedő	suffering
eltér	differ
nedves	wet
megjegyzés	comment
kazetta	cassette
megismerése	Getting to know
együttműködve	collaboration
szavai	the words
verziót	version
ötleteket	ideas
betöltött	loaded
moderátorok	Moderators
munkához	work
teremben	Hall
kapták	received
hiányzott	missed
eleje	early
kísérletek	Experiments
dob	launch
közéleti	public figures
jelentős	significant
foglalkozás	occupation
útnak	sail
kórház	hospital
információkkal	information
képernyő	screen
szemet	eyes
alábbiak	follows
alapjai	Foundations
vörös	red
győzött	won
találkozni	meet
kérdését	issue
ablak	window
kelet	east
európai	European
november	November
tapasztaltam	I experienced
hiszek	I believe in
hibája	failure
ellenőrzési	inspection
mondhatjuk	say
feleslegesen	needlessly
félévben	semester
autós	motorist
magyarázza	explains
ablakon	window
vágyik	looking
előnyt	benefit
királya	King
utalt	hated
szülei	parents
javasolta	recommended
hozhat	You can
határozzák	determined
barátai	Friends
ütemben	pace
fogott	caught
szülői	parental
védjegy	trademark
vitt	brought
fogadják	accept
számítógépet	computer
vegyen	buy
fejlesztett	advanced
urak	Messrs
holnapi	tomorrow
dizájnváltás	Design changes
munkaerő	labor
Tóth	Toth
fellépő	acting
leány	girl
filmes	movie
néznek	they look
hívott	called
ismételt	repeated
szolgálják	serving
debreceni	Debrecen
ördög	devil
honlapunkon	website
adom	it
spontán	spontaneous
megkérdezte	he asked
képét	image
akikkel	whom they
afrikai	African
fát	tree
megmutatja	shows
második	second
egybe	together
feleségem	My wife
medence	pool
edző	coach
ért	understand
elmarad	fail
alakítja	Converts
köszönöm	Thanks
téves	false
időszakra	the period
tél	winter
másutt	elsewhere
nukleáris	nuclear
kivételes	exceptional
problémái	Problems
pontosan	exactly
elejétől	From the beginning
pályázók	Applicants
közgazdasági	economic
továbbra	continue
dátum	date
értelmezése	Interpretation
vedd	Buy
emlegetett	cited
szolgálat	service
integrációs	integration
fenntartható	sustainable
tartása	Keeping
biztosította	provided
hozzájárult	contributed
szex	sex
gyűjtemény	collection
tudja	you know
frissül	updated
vettük	we
kurzus	course
keretein	framework
dalt	song
érdeklődőket	interested
tanára	professor
helytelen	incorrect
közlekedési	Transport
választják	elected
jogszabályi	legislative
kenyeret	bread
lemezek	Plates
noha	although
félnek	party
lent	down
elismerést	appreciation
könyvében	book
fentebb	above
tapasztalati	empirical
egyedüli	only
Franciaországban	In France
értelmetlen	pointless
adminisztrátort	administrator
érvényesül	prevail
újságírók	journalists
rövidesen	shortly
küldj	send
hátán	backs
elfogadják	accept
melyből	which
belépéshez	enter
tudjanak	be able to
tapasztalatokat	experience
adva	giving
láttak	seen
ipari	industrial
igazolni	verified
soproni	Sopron
franciák	French
szakszervezeti	trade-union
kellően	enough
társai	Others
testvérek	brothers and sisters
jaj	ouch
kör	disease
fűződő	relations
ama	ama
mondatot	sentence
megvalósítására	implementation
istenek	Gods
infláció	inflation
váró	waiting
iratok	papers
csoportokat	groups
ilyesmit	like this
képességek	Capabilities
ismerték	known
versenyben	competition
benned	you
vezethet	lead
dolgozunk	working
vártak	expected
mobiltelefon	cellular phone
egészség	health
háttérbe	background
egyensúly	balance
gyűjteménye	collection
lóerős	horsepower
fizetés	salary
szövegeket	texts
kiterjed	cover
eseményt	event
kereszt	cross
kiegyensúlyozott	balanced
találom	I find
megtartott	held
honnan	from
kapcsolataink	relations
záró	closing
hangulatú	atmosphere
érik	ripen
csaj	chick
telefonos	phone
lejjebb	down
vitték	They were taken
méretben	size
üzembe	Commissioning
hitte	thought
ismertetése	Description
mindvégig	all the time
használom	I use
labda	ball
dokumentáció	documentation
készítő	maker
tüzet	fire
meghívott	invitee
olyannyira	insomuch
módot	mode
nevezetesen	namely,
szféra	sphere
nyugat	West
európai	European
épít	build
tényt	facts
kerültem	I got
közönséges	common
ruha	clothes
ötlete	The idea
számomra	me
egészben	in full
szavait	the words
módszereket	methods
álláspontja	Findings
kínálnak	offered
akármilyen	whatever
évszámok	Model Year
életüket	lives
rovat	column
meghal	die
márpedig	However,
értelem	intellect
kezelő	operator
fentiek	above
megváltozik	changes
nemhogy	not that
legtöbben	Most
említette	said
olcsón	cheap
üzem	plant
hangulatos	cozy
kértem	I asked
irányt	direction
termelő	productive
amerikaiak	Americans
tanulói	student
elképzelés	notion
címeket	titles
testvér	brother
letöltés	Download
hagyják	leave
internetes	online
kezelési	treatment
hajnali	auroral
alapelveinket	our principles
szélsőséges	extremist
részesült	received
fogta	caught
ugyanez	The same
életük	lives
zárta	close
átvett	received
rendelkezései	provisions
pillanatnyilag	momentarily
ismertem	I knew
szóval	so
szerverek	servers
nagyra	highly
miben	wherein
vágya	or the
versenyre	competition
biztosítunk	We offer
nehézségek	Difficulties
olyanokat	with a
zavarja	bother
extrák	extras
utazó	traveler
fogni	catch
divatos	fashionable
forgalomban	available
reggel	morning
időpontját	stay
tulajdonságai	Properties
nézték	Views
nyomtató	printer
addigra	by then
élénk	lively
jelentettek	reported
tantárgyak	Subjects
kék	blue
területét	area
kiadásában	edition
Ausztria	Austria
közigazgatás	government
életemben	my life
terjedt	spread
változása	Changes in
hónapok	Months
fürdő	bath
tehetnek	they can do
pillanatok	moments
cserélni	replaced
mágia	magic
szelleme	The spirit
hivatali	administrative
munkanélküliség	unemployment
megindult	moved
hozzáférést	access
hotel	hotel
fejezi	expresses
veszélye	Danger
hangosan	loud
kilométer	kilometer
elől	Tires
háborút	battles
különleges	special
hordozható	portable
ajánlunk	We offer
kötelezettséget	liability
számviteli	Accounting
veti	throws
bejön	come in
ágazat	sector
példány	copy
éli	lives
oktatást	Education
egyiket	one of them
komolyan	seriously
minőségét	The quality
gyakorló	practicing
nyolcadik	eighth
mező	field
egyáltalán	at all
körülötte	around
valósul	realized
feltehetőleg	presumably
készek	to date
agresszív	aggressive
szegény	poor
mentális	Mental
érsek	archbishop
túlnyomó	overwhelming
jelölte	identified
lelkek	spirits
negyedévben	quarter
megpróbálja	tries
képre	picture
hivatkozott	cited
hatalma	power
ezekhez	these
szerte	around
népet	people
főt	people
korosztály	ages
vevők	Buyers
ellenőrizni	check
alkot	create
jövök	I come
szabályos	regular
eljött	come
tárgyalás	negotiation
két	two
három	three
szűkebb	narrower
következményei	Consequences
nagyok	great
kiadványok	Periodicals
esetet	case
boldogan	happily
értékelés	assessment
azokon	on
minap	the other day
jövője	Future
dologban	thing
ajánlatkérő	contracting
felhasználónév	user name
papi	priestly
dologra	things
hűvös	cool
úgysem	anyway
ukrán	Ukrainian
levelében	letter
kereste	Searched
megítélése	perception
témával	theme
állott	stale
váltó	changer
megalakult	formation
színészek	Actors
hányszor	How many times
fájlok	Files
műsorok	Shows
torony	tower
találkoztunk	We met
adatlap	sheet
elénk	us
polgármesteri	mayor
gazdálkodás	management
államilag	state
emlékek	Memories
legegyszerűbb	Easiest
alkalmaz	apply
nevelő	educator
párbeszéd	dialogue
munkavégzés	Working
énekesnő	singer
magunknak	ourselves
ellenőrzi	check
tanévben	school year
tervezik	plan
növekedési	Growth
munkahely	workplace
rendbe	right
kisebbség	minority
évtizedes	decades
feltüntetett	indicated
túra	tour
opció	option
élére	edge
elkezdtem	I started
rajtunk	us
készítettek	created
animációs	Animation
sűrűn	densely
látva	seeing
rendelkezésünkre	available
okát	reason
kiváncsi	curious
vezérigazgatója	Chief Executive Officer
beszélget	talk
felkészülés	preparation
utaló	suggestive
kölcsön	loan
kísérletet	experiment
válogatás	Selection
gyanús	suspicious
ezúttal	this time
felügyelet	supervision
többszöri	multiple
halált	death
unió	union
iskolákban	schools
amibe	whatever
csakhogy	only
anyám	my mother
terve	plan
szóljon	speak
oldalakat	sites
jobbat	better
pénteki	Friday
tananyag	curriculum
kollégium	dorm
foci	football
hajú	haired
romániai	Romania
láthatunk	see
pályázaton	Competition
hiszik	believe
edző	coach
hallom	I hear
befektetők	Investors
szakmailag	professionally
mondjak	I say
békés	peaceful
fegyvert	weapons
motor	engine
megszerezni	to acquire
hozzátette	added
családot	family
örömére	delight
szobák	Rooms
nyújtja	offers
összeállított	compiled
fenyegető	threatening
témáról	topic
kiállított	issued
szólj	speak
rendezni	settle
forrásokat	resources
ismerteti	presents
utolsó	last
kötelesek	They are required
zavart	embarrassed
házépítés	house building
menjünk	let's go
kutatói	Researchers
hozzáférés	access
könyvtárban	directory
módosíthatja	change
befejezése	completion
kereskedő	dealer
segítünk	help
készítenek	draw
ruhát	clothes
nyertek	won
nyelve	Language
keretei	framework
juthatnak	get
foglalkoztatási	Employment
szívesen	willingly
léptek	footsteps
egyetért	agree
nézzük	let's
védő	protector
eredményesen	efficiently
egyenlőre	for now
kiszolgáló	Server
értelmét	meaning
maradhat	stay
falak	Walls
kamara	chamber
tapasztalata	experience
meccset	match
megváltoztatni	to change
saját	own
félelmetes	formidable
másodszor	secondly
igényelt	required
jellemezte	characterized
kötelessége	duty
ész	wit
kritikusok	Critics
felmérése	Survey
határoz	decide
fordulnak	turn
megfelelő	appropriate
kurva	bitch
létszáma	The number
vért	armor
nyitni	to open
sajtóban	the press
évezred	millennium
mindhárom	all three
utakon	roads
szerető	valentine
rendőrségi	police
közösséget	community
banda	gang
központjában	center
fontosak	are important
megállt	stopped
másképpen	otherwise
megvalósítását	achievement
aerobik	aerobics
virág	flower
leírások	descriptions
évről	year
esztendőben	year
hallotta	heard
kicsiny	little
nevéhez	the name
küldi	sent
hajrá	go for it
tekintjük	considered
másik	other
veszünk	We are
tájékoztatni	informed
erdélyi	Transylvania
ingatlanok	properties
foglalkozunk	deal
befolyásoló	influential
alkotmány	constitution
amúgy	anyway
helyzetének	status
falat	morsel
dkg	ounces
végeznek	perform
milliárdos	Billionaire
felszínre	surfaced
teljesíti	fulfill
gondos	careful
jobb	right
problémám	a problem
megvalósításához	realization
rendszernek	system
amolyan	sort of
annyi	so much
angol	English
osztályok	classes
istennel	god
állapotot	status
fotókat	Photography
írása	Writing
erdőben	woods
támogatásra	aid
tanítási	school
vásárlók	Customers
maradandó	imperishable
visszatérő	recurring
beszélhetünk	speak
kérdéseit	issues
esedékes	due
feladatát	task
oldalára	website
mérkőzést	match
hiányos	deficient
jelző	marker
vegyük	Remove
más	other
ítélt	sentenced
ágy	brain
szakaszában	phase
értékeli	evaluate
kívánta	sought
szegények	the poor
keskeny	narrow
fodor	frill
tulajdonságok	Properties
érint	touch
menü	menu
kötelezettségek	Liabilities
kiállítása	The exhibition
miket	what
sebessége	speed
webes	Web
legjobbak	best
Horváth	Horvath
nyit	open
anyagból	material
átmérőjű	in diameter
őrzi	preserves
közel	close
találkozón	meeting
megtekintése	View
használhatja	You can use
tanácsadás	guidance
követelmény	requirement
hónapot	month
interjút	interview
lejár	expire
elkezdődött	started
ülést	meetings
jobbak	better
kérdésére	question
zár	lock
teljesítette	fulfilled
fiatalokat	young people
hálózatot	network
dokumentumot	Document
kiindulva	Starting from
olvashatók	read
számlát	bill
részletes	detailed
kihívás	challenge
szuper	super
megkezdett	begun
küldjön	Send
mindenki	everyone
még	yet
egy	one
viccet	joke
török	Turkish
elutasítja	rejects
fontosságát	the importance of
írtál	
sört	
bejelentett	
állítása	
munkatársak	staff
bevezetését	
törekvés	pursuit
lelkét	
gondolatot	
tönkre	damage
érdemel	worth
mással	
polgármestere	
irodák	
zenés	musical
egyesülete	
magukkal	
közösségben	
erőforrások	
alkalmazási	
rendszerint	usually
elnyerte	
javasoljuk	We recommend
tükrében	
autópálya	
mar	bite
funkcionális	
gimnázium	high school
elképesztő	amazing
fokon	
szállító	carrier
fele	half
dönti	
lelkész	minister
váltani	
ebéd	lunch
másodlagos	
intézményekben	
értelmiségi	
elnevezés	
technológiával	
mérhető	
folynak	
hagytam	I left
válaszolta	
terhére	expense
decemberében	
polgár	citizen
polgármesteri	
szerez	gain
határok	limits
hagyományosan	
elmondja	says
azokról	
szenvedés	misery
műtét	operation
gondolata	
fiatal	young
cseréje	
pillanatnyi	
koffer	
Románia	
parti	coastal
tetszenek	Satisfaction
légi	air
igyekszünk	
időzóna	
sajnálom	sorry
nemzetek	
mester	master
elektronikai	electronic
vas	iron
aranyat	
hatalmas	powerful
szórakozás	
készítője	
teljesített	
szeretjük	
nyelv	language
magánszemély	
legyél	Be
függőleges	vertical
karakterek	Characters
minőséget	
igazán	really
reméljük	hope
számítógéppel	PC
határozata	
piacot	
cikkeket	
diplomát	
forgalma	turnover
fordulóban	
ügye	affairs
régiók	
ható	acting
valószínűséggel	
gombbal	
felhívni	
összekötő	Liaison
tömeges	massive
viszik	
főiskola	college
állítás	
homoszexuális	gay
ázsiai	
típusok	
kialakulását	
jelenlétében	
előállított	
kíváncsiak	
felelőssége	
kisebb	less
nagyobb	
vámpirizálsz	
szerdai	
kötelezően	
függvény	function
immáron	
értesítést	
kisfiú	
telepítés	installation
teljesítményét	
udvari	court
támogatásban	
látogatás	
kertben	
garanciát	
javaslatok	
hölgyek	
folyamatokat	
oktatók	
mindezek	
vállalkozási	
kocsit	
részeket	
bizalom	confidence
lesz	will be
keltett	
bíboros	cardinal
nyitotta	
felvételek	
amiatt	because
lerakót	
sportos	Sports
melyekkel	
kialakuló	
újra	again
feldolgozás	
beszélő	speaking
találkozhatunk	meet
célunk	
tesztek	
jutunk	
menő	cool
nélkül	without
hajtja	
alakítani	shape
vélte	
javaslata	
örömmel	gladly
utca	street
generáció	generation
százalékra	
igazoló	
dolguk	
építettek	
dolgozat	dissertation
tartalmaznia	
utazik	travel
őrmező	
rajtad	up to you
osztályú	
kérdésekkel	
észrevételeit	
cége	
pénze	money
döntési	
birodalom	realm
érvényben	
világába	
fiát	
szobor	statue
mátrix	matrix
terhesség	pregnancy
fém	
tagjának	
habár	
ingyen	Free
civilizáció	
lejátszó	player
eladási	selling
hülyeség	nonsense
származnak	
fényében	
figura	figure
mennyivel	how much
megrendelő	customer
hozzászóláshoz	
témától	
mérkőzésen	
kötve	
gyógyítás	Healing
kijelző	display
racionális	rational
hetekben	
adminisztrátorok	
fel	up
szerkeszteni	
háztartási	domestic
tehetik	
hagyományok	
ablakot	windows
védelmére	
efféle	
személynek	
külföldre	abroad
kedvezményt	
kör	disease
gazda	administrator
tulajdonsága	
értékesítés	
külügyminiszter	
ingyenes	free
haladt	
országnak	
tulajdonú	
logikus	
figyelmébe	
érdekelnek	
kezelését	
eljön	
ételek	Foods
égi	
számíthat	
dán	
tus	Indian ink
székhelyű	
egyiptomi	
igazából	actually
grafika	graphics
praktikus	practical
tucat	
római	Roman
arányos	cute
két	two
ötvenes	
eredeti	
verset	poem
lássuk	
mert	because
szabályozó	
szegénység	
piacán	
bízott	
regisztrációt	
tapasztalatait	
szavazatok	
