být	be
oběh	take
moč	acting
bouřlivý	fun
City	move
plast	thrill
sonda	iron
zkratka	waiter
prohra	outcry
nádvoří	hurt
zavádět	bathtub
architektonický	pensioner
Kolín	Canadian
svěží	wheelbarrow
soucit	appreciation
vstupenka	weigh out
pěší	protest
přijatý	SNB
zabalit	thin
box	humidity
hráz	preponderance
intelektuál	earn
irský	tighten
nájemník	cannon
pouzdro	premature
Group	opening
partie	numerous
latinský	wander
ukrýt	federal
užitek	conservation
ochránce	planning
vlivný	lighting
Vítkovice	second
držitel	fly
snesitelný	serve
zásuvka	Business
marketingový	patience
kilo	graphic
kontrakt	federation
oloupat	meet
hypotéza	foundation
klika	overall
obzvlášť	earphone
odběr	voluntary
pohřbít	Emil
vařený	perform
Honza	expert
potlačit	walker
filtr	ugly
naplno	stage
policajt	dynamic
rozhodný	interest
zjevný	seizure
pomník	today
prostorový	conservative
graf	issued
Chomutov	heavenly
bezpochyby	welcome
Evropan	fulfill
celosvětový	gate
kyselý	catch
narážet	operation
rejstřík	creditor
kruhový	expel
vyhrožovat	garage
tropický	cream
dominovat	vein
vášnivý	FAKTUM
vyplácet	poster
obžaloba	comparable
Nizozemsko	monk
zájezd	parson
egyptský	cushion
střelba	dreadful
fyzikální	fever
problematický	thieve
prodloužení	despair
kotník	CSN
leasing	shift
ligový	verbal
prozrazovat	reside
úzce	acquire
zhasnout	float
kalendář	exploration
koka	CSSR
středočeský	prestigious
údajný	board
belgický	adequate
spekulace	rock
panenka	shop
úhrada	chase
zastoupit	chest
vojna	skull
audit	alliance
uvolnění	profess
absurdní	rear
ořech	friend
pomyslit	off
přízemí	reconcile
tenis	predecessor
sympatický	impress
záře	buttocks
žloutek	pencil
cyklista	draft
náraz	ring
stoupenec	ethical
extrémní	Vary
majetkový	immensely
nač	tail
děsit	privacy
Markéta	carry
odpadní	recap
bezmála	offend
odporný	glass
spravovat	mark
studijní	Romania
čelist	settle
Jitka	Teplice
darovat	thirtieth
naplňovat	identity
zastavovat	arrival
zezadu	great
obilí	hunter
boční	heart
modelka	dressed
Ukrajina	greeting
obdobně	comrade
Times	preliminary
kopat	remove
naléhat	horizon
politicky	power
právem	hunt for
proslavit	amicably
International	assistant
sdělovat	weekly
škála	positive
zlikvidovat	developing
kádr	search
nacistický	proper
přežití	exceed
přísahat	marry
uvolněný	universal
kdekoliv	jersey
přiznání	competence
pověsit	publish
líčení	Palestinian
omýt	esthetic
sankce	distribution
uvěřitelně	ridiculous
formulace	represent
Tony	belong
objasnit	downhill
fyzicky	acute
poručík	panel
zatracený	Opava
atentát	ethics
koláč	internal
posudek	agree
kupředu	suit
peněženka	revolutionary
plošina	clutch
sebemenší	node
hraniční	photo
naléhavý	chicken
optický	Munich
holub	heritage
profesionál	compliance
DPH	service
obviněný	it
syndrom	Vera
Eduard	systemic
kaše	divine
očividně	Christian Democrat
stručný	mistress
dopravit	beloved
přestupek	communal
asijský	written
Jirka	MS
vypravovat	leave
čtvereční	ring the bell
samozřejmý	Magical
funkcionář	abyss
podávání	load
akorát	gather
dokládat	surprisingly
řídicí	Franc
vytahovat	beef
Štěpán	Transformation
chronický	alluding
figura	initial
pomyšlení	heart
soustřeďovat	communicate
US	extinction
dokonalost	clear
připadnout	relaxation
sběr	focus
video	leader
zmatený	edge
centr	sail
islámský	understanding
končetina	hazardous
palba	detective
proužek	pedagogic
zatáhnout	Pribram
dvojče	tuition
legislativní	apply
přepravní	Turkey
poselství	graduate
vydechnout	farm
docent	madness
chaos	Doctor
oxid	goalie
pyšný	Heavens
turné	drive
žadatel	increasing
bronzový	business
nováček	futile
vynechat	in question
hradit	willingly
slovanský	design
vyřadit	thigh
pilíř	pause
pominout	KSČM
kupříkladu	ash
odhodit	radium
zámecký	Viennese
svléknout	Čapek
vypovědět	connectivity
sebevědomí	Leaves
Edward	customs
kabel	GDP
povolat	conceive
schovávat	Slovak
zabezpečit	grow
magický	nowhere
skupinový	undergo
zkontrolovat	symbolic
důvěrný	plus
utratit	rocket
hrnek	murder
posouzení	dish
praštit	Viktor
závidět	land
abstraktní	identify
analyzovat	trap
hrobka	shift
lhostejný	car factory
lodní	quiver
výstupní	provision
kompozice	psychologist
prachy	cluster
spolehlivost	minority
taktika	repeatedly
naivní	draw near
školský	delight
agresivní	Turkish
ocet	probationary
zadarmo	apparatus
čtyřkoalice	complicated
Mark	fulfillment
útočit	fighter
zaváhat	satisfaction
čokoláda	Photo
dvojitý	armful
hádka	intervention
nosič	Communism
oddělený	threesome
výbava	oriented
nastavit	administrative
primitivní	piano
Simon	music
trik	failure
nájem	coffin
popřít	rational
reprezentační	survey
zastavení	functioning
car	budgetary
nastávat	weakness
sázet	curious
distribuční	interval
ohlas	shake
osvobození	database
vyšplhat	gas
básnický	drive through
děsivý	target
kancléř	service life
povolený	specify
vyplývající	highlands
guvernér	phenomenon
pěstování	legendary
shledat	New York
stavení	punish
šlechtic	hang
výzdoba	crest
pokrytý	executed
studentský	deficit
udávat	Human Resources
rozkládat	province
důkladný	responsibility
Jean	outlook
odlišovat	N
odpolední	act
protiklad	author's
Hradec	annually
chlápek	affectionate
ohrožený	repeated
prohodit	jacket
zanedlouho	business
ZOO	happily
dort	tire
klima	extend
brod	box
posila	confirmation
slepice	abstain
slon	Belgium
pojistný	modernization
samice	greet
sochař	concentration
X	extraction
děcko	stress
summit	round
absence	bright
namalovat	mission
sourozenec	switch on
rozmezí	Ales
němý	draw
titulek	costume
pobřežní	farmer
potřít	period
zaručovat	bad luck
Turek	rip
šunka	corruption
Libor	happily
di	Temelin
diplomat	classmate
plastový	pull
převzetí	bearer
samospráva	seventeen
Černý	liberal
předešlý	break
et	wedding
Chicago	promulgation
chudoba	supplement
Petra	arrive
rozmanitý	Twenty-five
řasa	railing
elektronika	situated
květináč	cooking
polsko	Boleslav
dalekohled	cleanliness
datový	terrace
rezervace	academic
vyčerpat	organic
zemřelý	throw
hlasitý	mature
incident	many times
manažerský	Tommy
trhlina	boiling
poločas	balcony
dozor	rectification
inzerát	logistics
slanina	wisdom
vybudování	carrot
záměrně	saddle
instrukce	unique
rozvést	liberate
terč	imperial
úmluva	membership
ekonomicky	tape
vynález	authoress
zaniknout	chase
zbláznit	rope
cestování	Masarykův
čerpadlo	represent
virtuální	widow
rozhraní	weigh
skříňka	bell
kostra	Ray
závodník	reproach
speciálně	formulate
tíha	Italian
výchovný	youngster
nadměrný	coldness
připravovaný	and
trapný	rent
koza	creation
zničený	Yugoslavia
filozofický	brewery
sloupek	inflammation
ledvina	flag
protější	records
úžas	stir
dodatečný	factual
konání	Christianity
málokdy	Gypsy
anonymní	toilet
bláznivý	nervous
chválit	cover
vycházející	Jablonec
zobrazení	Zlin
Marta	admiration
ochota	productivity
zastihnout	Zuzana
portál	protein
pozvednout	courageous
stíhání	absolutely
tenisový	window
identifikace	lovely
krajní	cash
uprchnout	atom
zadat	cream
pravicový	look back
přízeň	building
subjektivní	swoop
triumf	whisper
kolikrát	cord
bláto	miss
napsaný	skin
zvědavost	depression
CD	slave
omítka	establishment
pohladit	hill
sud	affair
zapadnout	legal
Jeruzalém	bride
poutník	fire
zaznamenávat	Moose
blížící	analysis
favorit	next
zvonit	herd
Bernstein	silver
Einstein	spreading
jedenáctý	Benes
kalifornie	intellectual
panovník	show
repertoár	header
vznikající	bacteria
odborový	emotional
přistihnout	completion
statečný	close
unikat	rest
přerušení	innovation
spoluhráč	kilogram
vzhlédnout	hand
knižní	cover
bylina	recover
věkový	reflex
golfový	felon
pronájem	Julia
schválení	hey
Kuba	mandate
univerzitní	unload
zazpívat	treatment
povšimnout	charge
předpověď	rise
žhavý	watched
dozorčí	male
tudy	tie
zázračný	understand
dobýt	employ
kulička	Sam
nedůvěra	involvement
oč	handle
zobrazit	barrack
sympatie	F
trčet	preparation
vizuální	St
prognóza	inspiration
Vsetín	KDU-ČSL
hvězdný	honest
prospěšný	name
ostrůvek	ritual
seržant	facade
whisky	catch
dýchací	spread
formule	final
krizový	openly
nákladný	fall
vybuchnout	fantastic
ČSR	restrain
Hollywood	temporary
sada	mix up
uložení	representation
zlomek	I see
zúčastněný	Alena
Dánsko	Lower
portfolio	mix
Jágr	rejoin
pitomý	hit
laboratorní	passage
podržet	financially
vo	mystery
přikázat	initially
přivádět	Mexico
odolat	training
přesáhnout	taste
renezanční	cover
kreslit	dispose
oříšek	cathedral
položený	little
velitelství	destroying
zastánce	sacrifice
dlužník	clear
stonek	supposed
tucet	garden
vkládat	warning
hrot	magnetic
středně	pregnancy
tranzistor	cabbage
Al	elsewhere
pozůstatek	jury
probíhající	accountable
výjev	Street
fotoaparát	Telecommunications
Jacek	formula
myšlenkový	genetic
nominace	fill
opice	artist
pohyblivý	sprinkle
převládat	postwar
součástka	socially
záložník	opposite
akční	on foot
trpělivý	stable
vléci	telephone
zavedený	hardly anybody
odhodlat	transitory
odtáhnout	Dress Up
přípravný	create
zapnout	Englishman
plastika	socialism
spaní	component
materiální	hm
propagace	successor
lyžařský	strengthen
keramika	implementation
pohoří	forward
přátelsky	alert
registrace	diagnosis
věčnost	palm
dým	watchman
namířit	enthusiastic
zahnat	intestine
hygienický	luggage
pohodlně	CNB
tiskárna	break
odtamtud	textbook
potrubí	equipped
škodlivý	barrier
dimenze	writhe
Patrick	pointing
tolerance	groovy
místy	garden
snížený	shooting
pohromadě	mostly
zvonek	musical
aktivum	hue
odstartovat	call
vyzvednout	access
Atény	Hungarian
reportér	come on
splátka	bearing
stavebnictví	sawmill
zaslat	quality
kapesník	transport
příšerný	produce
sekretářka	use
sepsat	fortune
útes	breast
vyděsit	
zatáčka	turn
akceptovat	accept
rozpustit	dissolve
strkat	push
vědomost	knowledge
fajn	okay
probouzet	wake
památník	memorial
vyznání	confession
zpod	from beneath
octnout	find oneself
odběratel	subscriber
pobývat	stay
pohřební	funereal
oživení	revival
pýcha	pride
dekret	decree
externí	external
vídat	seeing
vydavatel	publisher
zlepšovat	improving
hořící	burning
zapůsobit	impress
Open	Open
ozvěna	echo
rozvinutý	developed
zaplavit	flood
prozkoumat	explore
rekordní	record
řízek	steak
teze	thesis
vykázat	expel
nazývaný	called
Portugalsko	Portugal
ušlechtilý	noble
Ben	Ben
upoutat	captivate
zaplnit	fill
tabák	tobacco
zápach	odor
hradiště	Strongholds
kostička	Bone
potichu	quietly
vyloučení	exclusion
zakázaný	prohibited
it	it
buben	drum
Korea	Korea
Mooshabrová	Mooshabrová
šatna	cloakroom
samozřejmost	obviousness
úkryt	shelter
maličkost	trifle
placení	payment
kriminalista	criminologist
atomový	atomic
rolník	farmer
vmíchat	mix in
dvojnásobný	double
míle	mile
Alice	Alice
granát	grenade
nafta	oil
živel	element
celostátní	nationwide
cenit	value
nabízený	offered
napravit	remedy
prvotní	prime
delegace	delegation
angažovat	engage
shodit	throw
bohatě	richly
krysa	rat
lekce	lessons
Řek	Greek
námořnictvo	Navy
označený	marked
infarkt	heart attack
moderátor	moderator
nuda	boredom
přidělit	allocate
trup	hull
vyzývat	urge
zkáza	destruction
Jack	Jack
náklaďák	truck
pánbůh	God
týdeník	weekly
hanba	shame
každopádně	In any event,
zhluboka	deep
vzdávat	give up
FMV	FMV
přestavba	reconstruction
směna	shift
umožňující	enabling
verdikt	verdict
přilákat	Attract
čištění	cleaning
jedovatý	toxic
Louis	Louis
Republika	Republic
finský	Finnish
výslovně	expressly
důstojnost	dignity
dvířka	door
přehlédnout	overlook
rock	rock
vysokoškolský	academic
operovat	operate
porost	growth
sušený	dried
Dagmar	Dagmar
der	der
image	image
naživu	alive
rozlišení	distinction
větrný	windy
Benátky	Venice
pouliční	street
Tereza	Tereza
valit	roll
vypořádat	deal
amatérský	amateurish
Cheb	Cheb
pojistka	insurance
stahovat	download
válet	lol
přeměna	conversion
otřes	shock
formulář	form
kriminalita	criminality
vědění	knowledge
věrnost	faithfulness
vráska	wrinkle
dálkový	remote
Indián	Indian
lucerna	lantern
půvab	gracefulness
zapomenutý	forgotten
bydliště	residence
odchylka	deviation
závada	fault
bunda	jacket
nucený	compulsory
olivový	olive
prodavač	salesman
léčebný	therapeutic
levice	left
obstát	hold up
odolný	resistant
shora	above
výčitka	reproach
zabírat	occupy
zvenčí	from without
dánský	Danish
těhotný	pregnant
mávnout	wave
šle	suspenders
zhodnotit	valorize
doložit	submit
ordinace	surgery
plechovka	tin
propuštění	release
fólie	foil
Lenka	Lenka
vyrážet	sprout
bankovnictví	banking
omluva	apology
předsíň	hall
syrový	raw
šíp	arrow
teoreticky	in theory
záporný	negative
mléčný	dairy
Cup	Cup
časný	early
obsazení	cast
pustý	desolate
Bob	Bean
nudit	bore
rozdávat	give out
konstrukční	structural
příznačný	symptomatic
rozdělovat	dole out
vytápění	Heating
odletět	fly out
koaliční	Coalition
podívaná	sight
rybí	fish
sortiment	assortment
ledovec	glacier
Madrid	Madrid
otázat	inquire
operní	opera
potřetí	third
sloužící	serving
zachycovat	Capturing
housle	violin
nejenže	Not only
laskavě	kindly
povzdechnout	Sigh
převažovat	outbalance
velet	command
zvládat	cope
frank	franc
naplnění	fulfillment
rovnat	match
školka	kindergarten
zobrazovat	show
zpomalit	slow down
jáma	pit
Klára	Clare
průchod	passage
balvan	boulder
německy	German
sprcha	shower
vstupné	admission
zamumlat	mutter
dlužit	owe
interakce	interaction
operativní	operative
přiletět	come in
instalovat	install
podřídit	subordinate
upustit	waived
obklopovat	surrounding
Putin	Putin
všelijaký	shady
dokončený	completed
Chrudim	Chrudim
válec	cylinder
C	C
obhajoba	defense
řídký	thin
včerejšek	yesterday
odstraňovat	remove
pohonný	driving
důsledně	consistently
přikrýt	cover
přivolat	call
Žižkov	Zizkov
oprávnění	authorization
zemina	soil
zemní	terrestrial
kvést	flower
rybářský	Fisheries
panika	panic
potýkat	contend
proudit	flow
trestat	punish
nátěr	coating
šofér	chauffeur
rodák	native
vybojovat	to fight
doprovodit	escort
páteční	Friday
Maria	Maria
propojit	link
šero	dimness
úkor	expense
paradoxně	Paradoxically,
použitelný	applicable
uvolňovat	release
překvapeně	surprise
zesilovač	amplifier
ptačí	can
tygr	tiger
holding	Holding
křeč	cramp
kW	kW
postranní	side
světský	secular
holandský	Dutch
výdělek	earnings
vyskytnout	Occur
zemětřesení	earthquake
autobusový	bus
vynikat	excel
zapadat	go down
dynamika	dynamics
hořký	bitter
chov	breeding
lesknout	glisten
střídavě	alternately
zářivý	radiant
držení	holding
obzvláště	especially
harmonie	harmony
lyže	skis
nadcházející	coming
říkávat	říkávat
Sára	Sarah
škodit	harm
Mahler	Mahler
sekundární	secondary
story	story
tzn	ie
zvážit	consider
děvčátko	girl
exponát	exhibit
najíst	eat
argentinský	Argentine
dopravce	carrier
interpretovat	interpret
kombinovat	combine
Larch	Larch
pronikavý	shrill
přebírat	take over
přesvědčovat	persuading
realistický	realistic
srst	fur
citlivost	sensitivity
krajan	homeboy
Brown	Brown
ironie	irony
beseda	Beseda
fyzika	physics
zajisté	surely
četba	reading
přednosta	Head
dieta	diet
DNA	DNA
nadechnout	breathe
stýkat	consort
výplata	paycheck
brzda	brake
veranda	veranda
zamítnout	reject
aneb	or
mocnost	power
nota	note
obdoba	analogy
přehledný	synoptic
historicky	historically
matematika	mathematics
próza	prose
učební	learning
onemocnět	sicken
vzejít	come
liška	fox
odhalení	revelation
resort	department
startovat	take off
zkrátit	shorten
soumrak	twilight
školení	Training
dočasně	temporarily
fotografický	photographic
ochránit	protect
útěcha	consolation
býk	bull
Nathan	Nathan
nudný	boring
strouhaný	grated
šek	check
hustota	density
ilustrace	illustration
mistrovský	masterful
vystudovat	graduate
zachovávat	keep
lesk	sheen
zrada	betrayal
exotický	exotic
řítit	tear
udržitelný	Sustainable
živočišný	animal
mlít	grind
soudobý	contemporary
zavádění	implementation
obsažený	contained
Saddám	Saddam
slaný	briny
bahno	mud
Baník	Miner
Oscar	Oscar
rozpálený	hot
zakoupit	purchase
odjakživa	always
počty	figures
Reuter	Reuter
upřeně	fixedly
hrst	handful
kolekce	collection
šikovný	handy
vychovávat	educate
povstání	insurrection
prchat	fleeing
Vilém	William
kryt	housing
opakování	repetition
rubrika	section
Stephanie	Stephanie
vpředu	ahead
zavinit	cause
Kristův	Christ
kuchař	cook
uhradit	reimburse
naplněný	replete
občanství	citizenship
spojka	clutch
vyhlížet	watch for
žert	prank
doprovodný	Accompanying
poručit	command
příslušnost	affiliation
reportáž	reportage
rozpadnout	break up
textový	text
rabín	rabbi
vodopád	waterfall
vymezení	demarcation
kontaktní	contact
ozdobit	decorate
pochvalovat	Pochvalov
příjemce	recipient
stíhačka	fighter
šokovat	shock
vyplynout	result
kouření	smoking
penzijní	Retirement
selhat	fail
tučný	bold
ucházet	bid
Norsko	Norway
okurka	cucumber
plavidlo	vessel
zamýšlet	think
pochválit	commended
žízeň	thirst
pěšina	footpath
smyslný	sensual
žár	blaze
oční	eye
osvědčit	witness
prožitek	experience
technicky	Technically
zdanění	taxation
muslim	Muslim
prospět	benefit
sádlo	lard
sousedství	neighborhood
ženatý	married
angažmá	contract
dotáhnout	tighten
torpédoborec	destroyer
vyjednávání	negotiation
čarodějnice	witch
Číňan	Chinese
srbský	Serbian
dožít	live
pojistné	premium
prázdnota	void
zblízka	close up
prověřit	check
rasa	race
ustupovat	ebb
vymezit	define
formálně	formally
partnerství	partnership
prosba	plea
přirozenost	nature
pud	instinct
strojírenský	Engineering
vážnost	seriousness
ikona	icon
music	Music
vznést	raise
charta	charter
katedra	department
odhalovat	revealing
osvětlený	lit.
předměstí	suburb
varhany	organ
levicový	leftist
naplánovat	schedule
katolík	Catholic
penze	pension
podmíněný	conditioned
těžit	profit
Bohumil	Bohumil
tlouci	beat
totožnost	identity
zakazovat	prohibit
zevnitř	from the inside
odsouzený	convicted
pavouk	spider
dohlížet	supervise
hlupák	fool
keramický	ceramic
redukce	reduction
bezmocný	helpless
čekaně	waiting
motocykl	motorcycle
odeslat	send
Soňa	Sona
psychiatr	psychiatrist
mrknout	nictate
obcházet	circumvent
směřující	pointing
zjištěný	detected
čistit	clean
napříč	across
porovnat	compare
soutěžní	Competition
výtisk	copy
kulka	bullet
spoření	saving
stárnutí	aging
zanedbatelný	negligible
des	des
podivně	peculiarly
pohybový	motional
předvídat	anticipate
přidaný	added
vniknout	penetrate
záblesk	gleam
zařazení	inclusion
epidemie	epidemic
přednášet	lecture
supermarket	supermarket
vědomě	consciously
záhon	flowerbed
zřítit	crash
j	j
mikrofon	microphone
mladistvý	youthful
vylíčit	describe
zajíc	hare
blbý	stupid
pevnina	mainland
devatenáctý	nineteenth
háček	hook
hlediště	auditorium
háj	grove
intimní	intimate
ručník	towel
trhat	pluck
účetnictví	bookkeeping
elektron	electron
kupní	purchasing
motivovat	motivate
odmítnutí	rejection
pláň	wold
pokušení	temptation
police	shelf
záliba	predilection
hradecký	Hradec
korespondence	correspondence
poradenský	advisory
solidní	solid
vyvolaný	developed
Bagdád	Baghdad
bratranec	cousin
stráň	hillside
strukturální	structural
vaření	cooking
vymezený	circumscribed
balení	Package
dotek	touch
pozemský	earthly
prorok	prophet
komplikovat	complicate
potřást	shake
Ellen	Ellen
gumový	rubber
sbohem	goodbye
sestoupit	descend
upřít	fix
kolář	wheeler
povařit	simmer
známost	acquaintance
křížový	cross
límec	collar
vdát	married
etnický	ethnic
fialový	violet
okupace	occupation
opravovat	repair
plachta	sail
Prostějov	Prostejov
Sokol	Falcon
Varšava	Warsaw
dirigent	conductor
lóže	lodge
odporovat	resist
výstaviště	exhibition grounds
opepřit	pepper
přijímací	Drawing
sluníčko	sun
tisícovka	thousand
buněčný	cellular
dom	house
ňadra	bosom
nastavení	adjustment
p	p
pečivo	pastry
namítat	object
oznamovat	report
ujet	cover
obchodovat	deal
panelový	panel
unavit	weary
veličina	quantity
perla	pearl
aut	Rental
filosofický	Philosophical
hladový	hungry
natož	let alone
Zdena	Zdena
efektivnost	efficiency
jazz	jazz
magazín	magazine
stanout	stand
Juan	Yuan
pavilon	Pavilion
propadat	fall
spatřovat	seen
obývací	living
přílišný	excessive
rosa	dew
šlechta	nobility
zač	You're welcome
závisle	dependently
nečekaný	unexpected
přesvědčivý	convincing
zahledět	stare
stará	old
národnost	nationality
plno	lot
pomsta	revenge
poukázat	refer
ziskový	Profitable
aktivista	activist
domorodec	native
husa	goose
nasekaný	chopped
pololetí	semester
drtivý	crushing
loupež	robbery
studentka	student
změřit	measure
chirurgický	surgical
pokročilý	advanced
restrukturalizace	restructuring
dočíst	finish
kanalizace	canalization
nacista	Nazi
sešit	notebook
hornina	rock
membrána	membrane
zásobník	magazine
kapalina	fluid
němčina	German
pronajmout	rent
strmý	steep
zkazit	spoil
míchat	stir
pocta	tribute
svetr	jumper
školák	schoolboy
bona	nursemaid
ministryně	Secretary
Nedvěd	Nedvěd
obr	giant
registrovat	register
sloupec	column
paradox	paradox
čtyřikrát	four
hladce	smoothly
plechový	tinny
dvouletý	biennial
regál	bookshelf
soužití	cohabitation
zaklepat	knock
optimismus	optimism
play	Play
Bach	Bach
bouda	booth
uskutečňovat	carry
dopadat	turn out
hn	hn
lovecký	hunting
centrála	headquarters
fiskální	fiscal
obrácený	reverse
odkládat	procrastinate
odstěhovat	move
přehnaný	exaggerated
trhnout	jerk
usnadnit	facilitate
včela	bee
Anderson	Anderson
BBC	BBC
křižník	cruiser
dýchání	breathing
leták	flyer
motýl	butterfly
přikládat	attachments
vyrovnávat	leveling
Brazílie	Brazil
definovaný	defined
dvorek	yard
Oliver	Oliver
podivit	wonder
rum	rum
semifinále	semifinal
Ivana	Ivana
profesní	Professional
přesvědčený	convinced
vyspat	sleep
azyl	asylum
pospíchat	rush
renezance	Renaissance
utrhnout	pluck
vypálit	burn
čelní	frontal
důvěrně	familiarly
globalizace	globalization
oceňovat	appreciate
sklouznout	slither
fungující	functional
kurva	whore
občasný	occasional
časově	time
deka	blanket
koňský	equine
kupec	buyer
místostarosta	Deputy Mayor
oddaný	dedicated
oslabit	weaken
otřít	wipe
pohlížet	seen
prostranství	space
revolver	revolver
zamávat	wave
bolestný	painful
poloostrov	peninsula
ES	ES
odsud	from here
předvolební	election
ubírat	subtract
zamyšleně	pensively
indiánský	Indian
mastný	greasy
růž	rouge
upevnit	consolidate
vrozený	congenital
gravitační	Gravitational
kasárna	Barracks
obléknout	clothe
písemně	writing
Wells	Wells
chřipka	flu
nájemce	tenant
narůstat	build
pohodlí	comfort
zoologický	zoological
doporučený	registered
poplatník	taxpayer
regulační	Regulatory
směnka	bill
totální	total
armádní	army
bušit	throb
MMF	IMF
koupat	bathe
oživit	revive
vězeňský	prison
zajetí	captivity
zdivo	brickwork
huť	huť
petrželka	parsley
plicní	pulmonary
povodňový	flood
atrakce	attraction
dárce	donor
element	element
nedaleko	near
terminál	terminal
žebřík	ladder
kolegyně	colleague
tečka	dot
odradit	discourage
václavský	Wenceslaus
vyděšený	frightened
nátlak	compulsion
ohnivý	fiery
oranžový	orange
zakrývat	hide
zamíchat	stir
zásobování	supply
utopit	drown
hlásat	proclaim
Stanley	Stanley
krčit	cringe
oddělovat	separate
úpadek	bankruptcy
vzdalovat	recede
honorář	fee
odtrhnout	tear off
Dana	Dana
důsledný	consistent
Microsoft	Microsoft
odpadky	trash
synek	synek
zdědit	inherit
kafe	coffee
nadělat	wreak
vjet	enter
získávání	acquisition
naříkat	wail
šéfredaktor	editor in chief
zaměstnaný	employed
hollywoodský	Hollywood
SSSR	USSR
čočka	lens
plastický	plastic
uchýlit	resort
výlučně	exclusively
dosažený	achieved
hrozen	Grape
nemocniční	hospital
Pohár	Cup
hostit	entertain
masivní	massive
prokazovat	show
vyhrknout	blurt
krmit	feed
petice	petition
preventivní	preventive
spojenecký	Allied
neutrální	neutral
odbýt	put off
poprosit	ask
sázka	bet
bramborový	potato
Cadfael	Cadfael
dlažba	paving
jízdenka	ticket
Palestinec	Palestinian
pasažér	passenger
sáček	bag
záminka	excuse
konvenční	conventional
odkázat	refer
telegram	telegram
trápení	vexation
živnostenský	Licensing
experimentální	experimental
kéž	I wish
raněný	Hurt
sedící	sitting
zakončit	conclude
argentina	argentina
čirý	limpid
fotografovat	photograph
mystický	mystical
slupka	peel
smyslový	sensory
tržiště	market
třídní	class
argumentovat	argue
předepsaný	prescribed
stavitel	builder
Hašek	Hasek
invaze	invasion
jihovýchodní	southeast
potkávat	meet
prodělat	go through
vlídný	benign
lineární	linear
loďstvo	fleet
rozčilovat	exasperate
zlomený	broken
činný	active
pohádkový	fairytale
uspořádaný	orderly
ISO	ISO
pasivní	passive
Vojtěch	Vojtech
divoce	wildly
chirurg	surgeon
obráběcí	machining
protějšek	counterpart
nakládat	deal
nesmírný	immeasurable
příručka	handbook
démon	demon
trpaslík	dwarf
viník	culprit
dceřiný	subsidiary
prales	virgin forest
zpravodaj	reporter
malta	mortar
Mercedes	Mercedes
slavnostně	solemnly
sluch	hearing
džungle	jungle
jelen	deer
Písek	Sand
přípustný	permissible
znečištění	pollution
kroužit	circle
objímat	hugging
Otto	Otto
povědomí	awareness
eso	ace
obydlí	dwelling
poloviční	half
status	status
uchovávat	store
zmírnit	relieve
Děčín	Decin
klasifikace	classification
vyhrávat	winning
zavazovat	bind
Agnes	Agnes
hrnout	pour
přezdívka	nickname
ctnost	virtue
leccos	many things
vyhlášený	renowned
členka	Member
nakolik	how much
pokorný	lowly
popíjet	sup
výčet	enumeration
chvála	praise
košík	basket
odsunout	evacuate
osudný	fatal
pozvolna	slowly
turistika	tourism
bohyně	goddess
vyčistit	clean
hrudník	chest
nadšeně	enthusiastically
něžně	tenderly
hodnotový	value
nasvědčovat	suggest
opatrnost	caution
projednat	discuss
přilehlý	adjacent
spouštět	run
Znojmo	Znojmo
zvláštnost	specialty
hostinec	inn
chápání	understanding
kočár	carriage
muslimský	Muslim
uklidit	clean up
chybný	wrong
nápor	onslaught
vlastnický	possessive
kupující	buyer
zvyklost	convention
lože	bed
předloha	pattern
přijímání	communion
jezírko	lagoon
miss	miss
prázdno	void
svádět	tempt
důrazně	emphatically
obhajovat	advocate
parfém	perfume
pečlivý	careful
řemeslník	craftsman
zmoci	emerge again
dovolený	allowable
nakreslit	draw
šlapat	tread
tlakový	Pressure
doutník	cigar
loučit	say goodbye
síťový	Network
trvající	ongoing
devatenáct	nineteen
donedávna	Until recently,
koncertní	concert
zaplacení	repayment
plachý	shy
venkovní	outdoor
cholesterol	Cholesterol
kravata	tie
procedura	procedure
veterán	veteran
celník	customs officer
jugoslávský	Yugoslav
sled	sequence
Smith	Smith
zjevení	revelation
nikterak	no way
stodola	barn
stroužek	clove
čtyřiadvacet	twenty-four
Edita	Edita
koordinace	coordination
seno	hay
sexualita	sexuality
bezplatný	free
míchání	agitation
šplhat	climb
holocaust	Holocaust
kázání	sermon
pověstný	notorious
zatvářit	look
zneužívat	abuse
adekvátní	suitable
figurovat	figure
junior	junior
Leo	Leo
odnášet	carry away
tvořený	formed
závodní	competitive
detailní	detailed
Husajn	Hussein
ponětí	idea
rádiový	radio
transplantace	transplantation
zdvořilý	polite
odněkud	from somewhere
příchozí	arrival
vyhradit	reserve
zlom	fault
zrcátko	mirror
devizový	Foreign Exchange
Elisabeth	Elisabeth
knihkupectví	bookstore
ožít	come back to life
přežívat	surviving
ucelený	integrated
víko	cover
dlužný	due
dráždit	tease
Jondalar	Jondalar
konzultace	consultation
líc	obverse
obuv	shoes
řezný	cutting
sekta	sect
totožný	identical
Irena	Irena
Karviná	Karvina
prodávající	seller
Blair	Blair
Blšany	Blšany
certifikát	certificate
empirický	empirical
léčebna	Treatment Center
lednička	refrigerator
zpochybnit	to challenge
asistence	assistance
Kamila	Kamila
lak	varnish
osmnáctý	eighteenth
rázně	sharply
banda	gang
desetina	tenth
Nick	Nick
podlít	basted
úbytek	decrease
většinový	Majority
op	op
